To: 2020-06-12;;
Country;Rating;Review
au;1;"This app needs to be updated to use the Exposure Notification API urgently. If it is not updated soon, everyone will start deleting it and it will be hard to rebuild trust to download it.
The Apple Watch disconnection bug is a frustration and isn’t included in the COVIDsafe help page as a known bug despite being noticed by users 10 days ago. All it says is “Apple Watch not supported” which is a different statement altogether."
au;4;I know of other people who have deleted this app because every day at least once it sends you a reminder to keep Bluetooth on! This needs to stop it’s annoying - I am trying to do the right thing but I’m also on the verge of deleting the app
au;1;Waiting for gov to update.
au;1;I mean, let’s be honest, this is a pretty basic app and yet they can’t make it work as it is supposed to work. Why on earth you don’t remember I’ve already registered? I own an iPhone 6s with the latest iOS. Why do I have to re-register every single time I start the app? Come on, it shouldn’t be too hard.
au;3;This app gives Bluetooth issue, lots of disconnection and causes apple watch battery drain.
au;1;"It interferes with other apps I’m using at the same time & flattens the battery within two hours. 

Not very satisfactory."
au;5;Great idea for keeping this virus away when returning to business. Early prevention and intervention can help wider community.
au;3;I understand the government would like to keep the community and the citizen safe hence why I have downloaded it. But I hate getting daily notification from the app, pretty annoying if you asked me. Like I get it the Bluetooth needs to be on but I don’t need a daily reminder.
au;3;"Causes a couple of problems that only surfaced when I started going back to the office. 

1. It prevents the Bluetooth hands free in my car from working. I cannot answer incoming calls or play music though BT.

2. If I forget to minimise the app after checking active, it keeps the screen active and rapidly drains the battery.

I’ll persist with it for now."
au;2;"It has altered the security of my iPhone and when I have the app open, the iPhone doesn’t auto screen lock. 

Urgent, please fix this quickly!!!"
au;1;No . This is poo
au;1;Great idea for an app, if only it worked when it’s closed
au;2;"My thoughts on this app have gone way down; this is disconnecting my Apple Watch Series 4 way too much, about once every day; draining my battery (iPhone 11). I have heard Apple has released an API that could be used with this app, I feel like that is very necessary right now to work better with iPhones. I’m starting to wonder if the benefits are even worth it anymore."
au;2;The app is frequently interrupting connection with my Apple Watch and wireless headphones.
au;1;Somehow the Bluetooth emissions take over and eliminate the Bluetooth sound system. Turn off the app and it comes back.
au;2;Why do I have to keep re-registering all the time? Obviously it's not really doing it's job..
au;1;Widget - to automate its function running in the background, instead of manually opening the app most people tendency to forget.
au;2;I would of given 5 stars but I am not happy it is not compatible with Apple Watch!
au;1;Every time I open the app to make sure it’s running when I leave the house, the registration screen comes up!!! So frustrating!! If you want us to use this app then make it work or it will be deleted!!!
au;1;After updating to 13.5, If I go to privacy and into COVID-19 feature it won’t recognise to set it on and it won’t recognise the COVID-19 app.
au;1;"Does this app work?
How do you know if it’s working when it doesn’t give you any feedback?
How much did the developer get for creating such rubbish."
au;2;Would love to run this app, but by half way through the day it’s killed the Bluetooth connection between my Apple Watch and my iPhone.
au;1;"This app does not work, it does not (it cannot) communicate with Bluetooth, unless your iPhone is unlocked and this app is running in the foreground. The Bluetooth security of an iPhone simply does not allow it to connect to another phone if your iPhone is locked or you are running another app.

No one is going to walk around with their iPhone unlocked, nor are they going to make sure this app is running into the foreground all the time. Are you doing this? If not the app is doing nothing.

Lock your iPhone screen - the app stops working.
Use another app, make a call, send a message, play a game, do anything else - the app stops working.

They must implement the new Apple-Google APIs which have recently been published with iOS 13.5 for it to work, securely and privately in the background, and until they do this the app literally does nothing. Switzerland are the first (and currently only) country to have done this to date.

Anyone who thinks this app will do anything otherwise is being fooled. It is not making you safe, it is not making anyone with an iPhone safe, and it is being greatly misrepresented by the government and its app developers."
au;1;"When on, my I-watch  bluetooth connection is lost, reducing its functionality, and decreasing battery life.
My solution, i have turned off the app. I want my watch to function normally.
Happy to turn the app back on when the conflict with bluetooth is solved."
au;1;"Seemed great
But then updates and you have to re-register
And then updates and now it will no longer accept my mobile number. After registering twice, it now fails. 
Please check and fix as I am now back at work. 
Thanks"
au;2;Firstly I don’t want the government know where I’m goin so I’m not downloading this HELL NO
au;1;The radiation from this app gave me coronavirus. Not happy bob not happy.
au;3;I keep getting notifications reminding me to keep Bluetooth on, then when I open the app it says it is active? I don’t turn Bluetooth off. I’m just going to turn off notifications for the app. But if you want people to download it, don’t annoy them with unnecessary notifications.
au;2;"I reinstalled the app after iOS 13.5 came out thinking it would support the more private exposure logging system Apple & Google developed but it doesn’t. Do not install.

Government agencies are already abusing warrantless access to our metadata and trying to weaken encryption; I don’t think we should trust them with more data.

Let’s maintain social distance to slow the spread of COVID-19 AND maintain vigilance to slow the spread of government overreach."
au;3;Apple released a core OS function for COVID-19 exposure notifications which will allow apps like this to function better. Why even in the latest version is it not being leveraged?
au;1;The fact that you have to keep the app open before loving the screen makes impractical.  You go out feeling somewhat safe thinking that app is collecting important information about who you come into contact with only to find out that is was not even working.  Due to the known limitations of the iPhone’s iOS security, they needed to have waited until the Apple/Google API was released which would enable contact tracing to occur even when the app was not open.  This current app will give everyone a false sense of security.
au;3;iOS 13.5 introduced iOS level support for exposure notifications, this would be 100% more functional and reliable if it supported that API.
au;5;It may encourage more people to download this app, if the number of people downloading the COVIDSafe app is updated and published regularly in websites and apps that deal with the coronavirus.
au;4;Why not integrate with Apple API? Will work much better and no need to run app
au;1;Not compatible with the iOS 13.5 COVID-19 Exposure logging api.
au;1;"Cve-2020-12860 and cve-2020-12856 need to be felt with before anyone should install this app.
The source code clearly needs to be published for independent review.

Please consider redesigning the app to implement the APIs made available by Apple for contact tracing."
au;2;"Great idea but needs more. 

• Should be able to run in background on iOS

• Should be able to mark your home so it will send push notifications if you leave your home. 

• Should have a watch app.

EDIT: May 26 - still no update. This will be fixed after the pandemic has passed."
au;4;"I understand the importance of the app and am comfortable with the privacy precautions even though I would agree there are definitely concerns about data collection. For the moment though I think it’s an important public health and safety tool in the current situation. 

When I downloaded it I assumed it would have an option to run in the background if allowed so I didn’t have to have it open all the time. This doesn’t seem to be the case but I don’t mind that too much, I just have to keep remembering to open it again. 

However, the main issue is that every time I open it or even if it’s been open for a while it seems to go inactive and makes me sign up and reactivate again which is very impractical and inefficient. Hopefully this will be fixed soon. Otherwise it seems to work fine."
au;3;It is still doing the daily notifications after the upgrade. So annoying
au;4;"I have downloaded and installed this app the day it was released, notifications are on obviously to let me know if I become in contact with someone that tests positive. Because of this, I am also getting constant reminders to keep my Bluetooth switched on which I am, these reminders are nothing but an annoyance. 

Stop sending repeated messages to users that are using the app correctly."
au;3;Other than the app saying it’s active and the bugs it causes I have no way of knowing if it is working. It’s a great idea and it’s unfortunate that we need it but it would be good to see some of the bugs fixed like the interference and connection issues with Bluetooth devices like my Apple Watch, headphones and car. I have tested and the issues only occur when this app is running.
au;2;"I like the simple design and I appreciate the existence of this app. But it is almost useless on iPhones in its current form.

It needs to be open right now at all times to track contacts. Literally nobody is keeping the app open when they leave the house as this is incredibly impractical for the user.

Apple’s API allows the phone to constantly be tracking Bluetooth contacts. This would allow the app to work properly. The developers should have waited for the proper Apple API to make the app, but since it’s made, now the app needs to be updated to the proper Apple API.

Until it’s updated it’s near useless. It’s only been used to track a coronavirus patient once in the entire country."
au;2;Is not yet compatible with Apple & Google’s privacy-preserving exposure tracing API.
au;3;Think it’s better to start using Apple’s implementation. Getting messages about this app not being activated for more than 48 hours whilst I have never closed the app, not rebooted phone etc. Should just stay active. Set and forget.
au;1;It is failing to comply with Apple Bluetooth standards which will make your iPhone at risk such as loss of data, no wonder Pauline Hanson, didn’t install the app, the app is made to make us scared that this virus is never going away, stay safe, this app won’t protected us from the virus, only hand washing and self isolation is the key, to survive,.
au;1;"I was going to wait until the source code was published, but since this government feels they do not have to earn our trust (despite raiding legitimate journalists) I decided to put protecting the community above ensuring my rights were not being compromised. 

Unfortunately the app designers must be sleep deprived or something. They ask for an Australian mobile number but start it with the international prefix +61! Why? If it’s an Australian number the international dialing prefix just creates confusion.

Do you include the leading 0? I would think not, but it wont accept my number without the leading 0... but wait... it also wont accept it with the leading 0. So this app wont work for me. There is nothing special about my number. Did this app get any testing before it was released? Surely I am not the only one experiencing this bug?"
au;1;It’s a good idea but it works horribly and I dont really want to give the government accurate location tracking of me also it drains your phone battery so fast and if you r smart about what you do it isn’t really necessary
au;2;Why have the developers not adopted the universal API that Apple added in iOS 13.5 to ensure exposure logging works correctly on iphones as right now it only works in limited scenarios.
au;5;I think COVIDSafe is a great app as it protects you from COVID-. 19
au;1;"Edit: latest version break all other Bluetooth device connected to your iPhone. Just how incompetent are these clowns.

Please delete all source code and use Apple’s COVID exposure API instead.

All your location data are uploaded to central server, there’s no anonymity, there’s no privacy protection. Remember when people opting out MyHealth in large numbers because there’s no guarantee third party will not have access to the data.

We need a contract tracing app that do the job while protecting individual’s privacy, this isn’t it."
au;1;iOS 13.5 includes a contact tracing API. This app in its current form is useless, unless it takes advantage of the new API.
au;3;Happy to use the app. Hopefully the next iteration will allow it to run in the background.
au;4;I downloaded the app for the greater good and do not referent as we as Australians should be proud how we have handled this outbreak. However the Bluetooth is very intrusive. I cannot listen to music through my AirPods as it either drops the connection or makes it unlistenable. And also the app will disconnect my connection to my Apple Watch. Also I need to get the government to get on board with Apple’s COVID api as having my phone unlocked and the app open drains battery and is not secure at all.
au;1;It’s the third time now I’ve had to register myself when I open the app. It’s not saving my profile on my phone it seems
au;2;Have deleted 2 different versions of this app now. Basically, the Bluetooth exposure tracking causes my fitbit not to sync, or even be seen by my phone. Even on iOS 13.5.  At least the latest version seemed to not shutdown in the background like previous versions. Won’t be installing again.
au;1;1 star for not using the baked in API provided by google and apple. Would not trust this government with my fecal matter let alone any data. I tried and deleted the app. Developer is lazy and government is untrustworthy.
au;1;"I downloaded ASAP but now read the iphone app fails.
I was doubtful of that claim until I just checked that it was active during today’s meetings and saw the app was unable to access Bluetooth
I checked settings and all correct. 
Reopened app and it was finally active but not until my meetings were over😳"
au;1;Was shocked to discover that my recent big problems with my Apple watch were caused by having this app running in background. When I switch off CovidSafe bluetooth, the watch finally works again. Thus app MUST adopt Apple/Google system. I cannot afford to junk my watch just for the sake of this app.
au;1;My Bluetooth is always on, but I’m constantly getting notifications to turn my Bluetooth on.
au;1;"The app has been installed and running (supposedly) in the background since it was first released. I make sure that I don’t have many other apps running in the background (maybe one other), yet I get a message saying that it’s not working. 
What a disgraceful con being run by the federal government. This app needs to run without issue - no wonder no one trusts them with technology."
au;2;"Update the app using the new Exposure Notification API or I’m uninstalling this as it’s pointless otherwise...

There is no excuse to not have a new version out: developers have had access to this API for weeks."
au;2;Conflicts with other devices that use Bluetooth with my iPhone ie knocks out my watch and AirPods connection and kind of causes havoc in general.
au;1;Can’t access Bluetooth a complete waste of time at the moment. Using iPhone 6s update your app to include
au;1;What can you lose by adopting Apple/Google’s API. I for one would prefer Better battery life and better efficiency...
au;1;I don’t want to open the app every five seconds, I’ve deleted the app and my data. Why would you not use the API developed by the people who write the operating system? Are you stupid?
au;1;I ain’t downloading it till you guys use Google/Apples CoVid API so we have extra protection
au;1;Bluetooth won’t play through any devices since installing app even though it shows them as connected 🤬
au;5;The app and legislated protections to our privacy are a great start. Please update with the Covid-19 Exposure Notification APIs from Apple and Google to improve effectiveness and privacy.
au;1;"I want  to support this , but I actually need my phone to work .. 
is it just me ? Since installing this it destroys my phone life, and I get lots of messages re Bluetooth not being on when it is on"
au;1;TRASH
au;5;Yep
au;1;I’ve got nothing against the concept of the app but it was rushed out too soon. Exposure Notification API was released as part of iOS 13.5 today which provides a better solution. I’ll reinstall the app when they upgrade it.
au;2;Great idea of the app! But it keeps asking me to turn my Bluetooth on...when it is on. I have to turn it off then on again for the app to be happy. A little annoying because then sometimes it isn’t actually on and I’m unaware.
au;1;"If this is meant to be the answer to opening up Australia, then why is it so buggy and useless on iOS?!

Does NOT work with the latest iOS that has COVID-19 exposure logging, it does not come up as an authorised app. 

Frequently turns off and goes back to initiation registration screen.  

I have a relatively new iPhone and latest iOS, so I can only image the potential issues on older phones. If it means that we have to keep remembering to open the app every time we go near people, that’s so impractical and in reality frequently forgotten and likely not going to happen!

The PM lauded it as a measure to opening up the country- now the developers need to get it to live up to the hype. I’m all for this to work! Let’s hope for a great update to this app!!"
au;3;This morning Apple released iOS 13.5 that features the new Exposure Notification API. In order to greatly increase the usefulness of this app, it needs to use this API to protect users privacy and allow the app to run in the background.
au;1;"Every day, a a daily Notification just to let you know that the app is active and no further action is required. 

Then STOP the incessant notification."
au;5;This is my favorite app. It is great. I love it.
au;5;Apple just released 13.5 to the public this morning to the world and it has its own integrated COVID-19 so it can work with our Aussie app. Hurry up and released an Update. Thank you!!
au;3;This app needs to give feedback when it collects data. Either an optional Ping noise, or allow you to see a table of date stamped data. Otherwise you get the feeling it’s not working
au;5;"We're no strangers to love
You know the rules and so do I
A full commitment's what I'm thinking of
You wouldn't get this from any other guy
I just wanna tell you how I'm feeling
Gotta make you understand
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
We've known each other for so long
Your heart's been aching but you're too shy to say it
Inside we both know what's been going on
We know the game and we're gonna play it
And if you ask me how I'm feeling
Don't tell me you're too blind to see
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give, never gonna give
(Give you up)
(Ooh) Never gonna give, never gonna give
(Give you up)
We've known each other for so long
Your heart's been aching but you're too shy to say it
Inside we both know what's been going on
We know the game and we're gonna play it
I just wanna tell you how I'm feeling
Gotta make you understand
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry"
au;2;"The CovidSafe app disturbs connections with other bluetooth devices after the CovidSafe is launched, just stay in the background or even after it has quit. 

I need to turn off my iphone and restart, or I can’t transfer BGL readings from the Accu-CHEK device wirelessly. I can’t hear a sound while casting YouTube to a Google Home nor listen to music from my Aeropex bluetooth hesdphone."
au;4;"Hi my name is Kirstin I want to know if you allowed to go back hugs and kisses I just wonder ing that all from Kristin 
 😇😀😅😅✅😇😃I got boyfriend Neville and I Neville Girlfriend Kristin 
Is 👍 with that ok 👍 from Kristin"
au;1;False security blanket with a dash of invasion of privacy
au;1;Need to get this thing working as soon as it is downloaded. No point in needing it open and running in the background. Sort it out. We need this to work well
au;2;The app interfered with my other Bluetooth devices if left running in background for more than an hour. It disconnected wireless headphones several times. It unpaired Apple Watch entirely that I had to reset and re-pair my watch.
au;5;Runs quietly in the background, a good public health initiative.
au;2;"could you not keep it all anonymous?
Everyone gets a unique identifier, and the app keeps 20 days of contact with other identifiers. Then when someone gets a positive result they also get given an access code that only works once so prankers can’t pretend they have it to scare others. You punch that code in and if it comes up yes, the alert goes out to your buddy phones. 
Maybe to get people to admit they have it, and get more ppl to download the app you don’t even tell them the result but their code gives them the result.
Just spit balling. Gov stuffed up with mygov and census. So I’m hesitantly caving."
au;5;"I am a doctor- a GP
The vast consensus of Australian GPs in this forum (currently more than 7000 members) agree that we should download this app. So please go ahead and keep us all safe. 

If we can suppress this deadly virus we can breathe easy and life can go back to near normal again."
au;1;The government is stalking you just like Life360 so yep, don't download this.
au;4;Pls don’t keep reminding me to keep the app on and Bluetooth on. It’s repetitive. I’m very happy to help and would like to keep notifications on in case something important needs to be communicated. But every two days or so is a bit much.
au;3;For times when out exercising & don’t have iPhone but record my activity on Apple Watch it would be great to have this app on the watch. Especially now that outdoor group exercise is allowed for groups 10 & under.
au;1;I think this is a great idea, it’s really important for people to download it. However, I’ve downloaded it twice and each time it has messed with my Bluetooth devices. This needs to be fixed!
au;1;Flattens battery in a few hours.
au;2;Unable to connect to my Apple Watch over Bluetooth after downloading the app. Can be fixed by toggling Bluetooth on/off and reconnecting daily. Very frustrating.
au;3;Downloaded the app, open it when I’m out plying golf, drains the battery over 18 holes. Do I assume contact tracing can happen by tracking back through bookings and only use it when I’m in a situation where contact tracing is more difficult?
